"Position","Name","Type","Signal","Label"
"1","VDD","Power","",""
"2","PC14-OSC32_IN","I/O","RCC_OSC32_IN",""
"3","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT",""
"4","NRST","Reset","",""
"5","VDDA","Power","",""
"6","PA0","Output","GPIO_Output","buzzer"
"7","PA1","Output","GPIO_Output","SSR"
"8","PA2","I/O","USART2_TX",""
"9","PA3","I/O","USART2_RX",""
"10","PA4","I/O","SPI1_NSS",""
"11","PA5","I/O","SPI1_SCK",""
"12","PA6","I/O","SPI1_MISO",""
"13","PA7","I/O","SPI1_MOSI",""
"14","PB0","I/O","ADC_IN8",""
"15","PB1","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PA8","Output","GPIO_Output",""
"19","PA9","I/O","USART1_TX",""
"20","PA10","I/O","USART1_RX",""
"21","PA11","Output","GPIO_Output","GPS_WAKE"
"22","PA12","Input","GPIO_Input","GPS_PPS"
"23","PA13","I/O","SYS_SWDIO",""
"24","PA14","I/O","SYS_SWCLK",""
"25","PA15","I/O","",""
"26","PB3","Output","GPIO_Output","LORA_RESET"
"27","PB4","Input","GPIO_Input",""
"28","PB5","Input","GPIO_Input","LIS_INT1"
"29","PB6","I/O","I2C1_SCL",""
"30","PB7","I/O","I2C1_SDA",""
"31","BOOT0","Boot","",""
"32","VSS","Power","",""
