"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN (PC14)","I/O","RCC_OSC32_IN",""
"4","PC15-OSC32_OUT (PC15)","I/O","RCC_OSC32_OUT",""
"5","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN",""
"6","PH1-OSC_OUT (PH1)","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","VSSA/VREF-","Power","",""
"9","VDDA/VREF+","Power","",""
"10","PA0","I/O","UART4_TX",""
"11","PA1","I/O","UART4_RX",""
"12","PA2","I/O","",""
"13","PA3","I/O","",""
"14","PA4","I/O","SPI1_NSS",""
"15","PA5","I/O","SPI1_SCK",""
"16","PA6","I/O","SPI1_MISO",""
"17","PA7","I/O","SPI1_MOSI",""
"18","PB0","I/O","",""
"19","PB1","I/O","",""
"20","PB2","I/O","",""
"21","PB10","I/O","",""
"22","PB11","I/O","",""
"23","VSS","Power","",""
"24","VDD","Power","",""
"25","PB12","I/O","",""
"26","PB13","Input","GPIO_Input","GPS_PPS"
"27","PB14","Output","GPIO_Output","GPS_WAKE"
"28","PB15","Output","GPIO_Output","GPS_RESET"
"29","PA8","Output","GPIO_Output","LORA_RESET"
"30","PA9","Output","GPIO_Output","SSR"
"31","PA10","Output","GPIO_Output","BUZZER"
"32","PA11","Input","GPIO_Input","LIS_INT2"
"33","PA12","Input","GPIO_Input","LIS_INT1"
"34","PA13 (JTMS/SWDIO)","I/O","DEBUG_JTMS-SWDIO",""
"35","VSS","Power","",""
"36","VDD","Power","",""
"37","PA14 (JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK",""
"38","PA15 (JTDI)","I/O","DEBUG_JTDI",""
"39","PB3 (JTDO/TRACESWO)","I/O","DEBUG_JTDO-SWO",""
"40","PB4 (NJTRST)","I/O","DEBUG_JTRST",""
"41","PB5","I/O","",""
"42","PB6","I/O","I2C1_SCL",""
"43","PB7","I/O","I2C1_SDA",""
"44","PH3-BOOT0","I/O","",""
"45","PB8","I/O","",""
"46","PB9","I/O","",""
"47","VSS","Power","",""
"48","VDD","Power","",""
