Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","sma","ufl connector",78.018748,-100.972116,90.000000,top
"AE2","Antenna_Shield","ufl connector",78.218748,-133.502116,90.000000,top
"AE3","Antenna_Shield","ufl connector",78.078748,-156.602116,90.000000,top
"BT1","Battery_Cell","3012TR",120.598748,-94.272116,0.000000,top
"C1","100nF","0603",156.508748,-112.532116,180.000000,top
"C2","10uF","0603",156.465000,-115.045000,180.000000,top
"C3","100nF","0603",151.493748,-112.647116,0.000000,top
"C4","10uF","0603",151.510000,-114.970000,0.000000,top
"C5","10uF","0603",163.173748,-112.007116,180.000000,top
"C6","100nF","0603",163.103748,-114.677116,180.000000,top
"C7","10uF","0603",101.478748,-93.392116,180.000000,top
"C8","100nF","0603",101.388748,-95.962116,180.000000,top
"C9","120nF","0603",82.918748,-100.892116,180.000000,top
"C10","4.7uF","0603",87.793748,-126.557116,0.000000,top
"C11","100nF","0603",87.833748,-122.287116,0.000000,top
"C12","100nF","0603",87.853748,-124.447116,0.000000,top
"C13","1uF","0603",98.403748,-139.437116,90.000000,top
"C14","100pF","0603",83.215000,-136.795000,90.000000,top
"C15","100nF","0603",104.258748,-135.712116,180.000000,top
"C16","NM","0603",89.363748,-132.717116,90.000000,top
"C17","12pF","0603",87.698748,-141.092116,180.000000,top
"C18","12pF","0603",93.518748,-139.332116,-90.000000,top
"C19","NM","0603",83.118748,-132.752116,90.000000,top
"C20","100nF","0603",143.600000,-141.700000,0.000000,top
"C21","1uF","0603",143.296000,-144.572000,0.000000,top
"C22","6.8pF","0603",148.665000,-135.715000,0.000000,top
"C23","NM","0603",89.613748,-155.917116,90.000000,top
"C24","NM","0603",82.813748,-155.957116,90.000000,top
"C25","10uF","0603",112.143748,-175.097116,90.000000,top
"C26","1uF","0603",107.713748,-175.047116,90.000000,top
"C27","0.1uF","0603",109.948748,-175.064616,90.000000,top
"C28","100nF","0603",168.553748,-161.927116,90.000000,top
"C29","10uF","0603",158.130905,-180.617116,180.000000,top
"C30","100nF","0603",171.223748,-161.884273,90.000000,top
"C31","10uF","0603",158.118748,-183.452116,180.000000,top
"C32","100nF","0603",108.181748,-182.665116,0.000000,top
"C33","6.8pF","0603",149.005000,-129.055000,0.000000,top
"J1","Screw_Terminal_01x02","2pin_screw",178.958748,-105.272116,90.000000,top
"J2","Screw_Terminal_01x02","2pin_screw",178.928748,-153.937116,90.000000,top
"L1","5n6","0603",87.683748,-100.877116,180.000000,top
"MOD2","teseo-LIV","SON_STM_TESEO-LIV3R",97.507344,-103.962116,90.000000,top
"PZ1","buzzer","PROSIGNAL_ABI-017-RC",180.288748,-174.032116,0.000000,top
"Q1","BSS138","sot-23,",178.898748,-185.977116,-90.000000,top
"R1","100m Ohm","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",169.048748,-102.892116,180.000000,top
"R2","10K","0603",175.443748,-184.397116,90.000000,top
"R3","220 ","0603",163.018748,-148.572116,0.000000,top
"R4","10K","0603",158.698748,-170.302116,-90.000000,top
"R5","10K","0603",153.688748,-174.352116,-90.000000,top
"R6","0","0603RL",86.278748,-133.362116,180.000000,top
"R7","10K","0603RL",105.890748,-168.446116,180.000000,top
"R8","0","0603RL",86.178748,-156.572116,180.000000,top
"R9","10K","0603RL",104.752748,-183.432116,90.000000,top
"R10","10K","0603RL",98.628748,-150.022116,0.000000,top
"REF**","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",188.268748,-197.302116,0.000000,top
"REF**","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",75.858748,-197.332116,0.000000,top
"REF**","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",188.248748,-86.772116,0.000000,top
"U1","INA219BxDCN","SOIC127P599X175-8N",169.008748,-114.342116,-90.000000,top
"U2","R-783.3-1.0","recom psu",155.288748,-102.932116,180.000000,top
"U3","LIS3DH","QFN-16_0.5MM",158.288748,-190.232116,0.000000,top
"U4","G3VM-61HR2(TR05)","sop4 P=2.54",173.548748,-151.092116,90.000000,top
"U5","DS28CM00R-A00+T","SOT-25",167.446248,-167.494616,0.000000,top
"U6","nRF52810-QFxx","nrf",97.008748,-133.502116,180.000000,top
"U7","STM32L052K6Tx","QFP32P80_900X900X160L60X37N",136.144000,-138.176000,180.000000,top
"U8","murattaLora","XCVR_CMWX1ZZABZ-078",100.028748,-160.102116,180.000000,top
"U9","ATECC608B","soic p1.27 lengt 5.40",164.097326,-177.517116,180.000000,top
"Y1","326MhZ","OSCCC320X250X90L80X100N",89.588748,-137.815725,180.000000,top
"Y2","32khz","crystal tht",146.760000,-131.830000,-90.000000,top
