"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CON3,CON2,CON1";"Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical";3;"jtag";;;
2;"Y3";"MURATA_CSTCE16M0V53C-R0";1;"16MHz";;;
3;"Y2";"crystal tht";1;"32khz";;;
4;"C7,C5,C31,C25,C4,C2,C29";"0603";7;"10uF";;;
5;"C10";"0603";1;"4.7uF";;;
6;"C27";"0603";1;"0.1uF";;;
7;"TP2";"TestPoint_Pad_D3.0mm";1;"MOSI";;;
8;"U3";"QFN-16_0.5MM";1;"LIS3DH";;;
9;"AE3,AE2";"ufl connector";2;"Antenna_Shield";;;
10;"J2,J1";"2pin_screw";2;"Screw_Terminal_01x02";;;
11;"L1";"0603";1;"5n6";;;
12;"U6";"nrf";1;"nRF52810-QFxx";;;
13;"C15,C11,C30,C6,C1,C12,C20,C28,C32,C8,C3";"0603";11;"100nF";;;
14;"REF**,REF**,REF**";"Fiducial_1mm_Mask3mm";3;"Fiducial_1mm_Mask3mm";;;
15;"R9,R10,R7";"0603RL";3;"10K";;;
16;"U9";"soic p1.27 lengt 5.40";1;"ATECC608B";;;
17;"C18,C17";"0603";2;"12pF";;;
18;"R2,R5,R4";"0603";3;"10K";;;
19;"C19,C24,C16,C23";"0603";4;"NM";;;
20;"PZ1";"PROSIGNAL_ABI-017-RC";1;"buzzer";;;
21;"Q1";"sot-23,";1;"BSS138";;;
22;"U5";"SOT-25";1;"DS28CM00R-A00+T";;;
23;"U4";"sop4 P=2.54";1;"G3VM-61HR2(TR05)";;;
24;"R6,R8";"0603RL";2;"0";;;
25;"C26,C13,C21";"0603";3;"1uF";;;
26;"C33,C22";"0603";2;"6.8pF";;;
27;"U2";"recom psu";1;"R-783.3-1.0";;;
28;"U1";"SOIC127P599X175-8N";1;"INA219BxDCN";;;
29;"Y1";"OSCCC320X250X90L80X100N";1;"326MhZ";;;
30;"TP4";"TestPoint_Pad_D3.0mm";1;"CS";;;
31;"TP3";"TestPoint_Pad_D3.0mm";1;"MISO";;;
32;"U8";"XCVR_CMWX1ZZABZ-078";1;"murattaLora";;;
33;"C9";"0603";1;"120nF";;;
34;"TP5";"TestPoint_Pad_D3.0mm";1;"SPICLK";;;
35;"U7";"STM32L552CCT6";1;"STM32L552CCT6";;;
36;"R3";"0603";1;"220 ";;;
37;"BT2,BT1";"3012TR";2;"Battery_Cell";;;
38;"TP1";"TestPoint_Pad_D3.0mm";1;"RESET";;;
39;"R11";"0603RL";1;"R_Small_US";;;
40;"C14";"0603";1;"100pF";;;
41;"R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"100m Ohm";;;
42;"AE1";"ufl connector";1;"sma";;;
43;"MOD2";"SON_STM_TESEO-LIV3R";1;"teseo-LIV";;;
