"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R11";"0603RL";1;"NM";;;
2;"R10,R7,R6";"0603RL";3;"10K";;;
3;"U6";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
4;"CON1";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TAGconnect_ESP";;;
5;"C26,C21";"0603";2;"1uF";;;
6;"R9";"0603RL";1;"0";;;
7;"C7,C5,C4,C31,C25,C2,C29";"0603";7;"10uF";;;
8;"U3";"QFN-16_0.5MM";1;"LIS3DH";;;
9;"C22,C33";"0603";2;"6.8pF";;;
10;"C27";"0603";1;"0.1uF";;;
11;"J2,J1";"2pin_screw";2;"Screw_Terminal_01x02";;;
12;"L1";"0603";1;"5n6";;;
13;"REF**,REF**,REF**";"Fiducial_1mm_Mask3mm";3;"Fiducial_1mm_Mask3mm";;;
14;"MOD1";"XCVR_RFM98W-433S2";1;"RFM98W-433S2";;;
15;"U7";"QFP32P80_900X900X160L60X37N";1;"STM32L052K6Tx";;;
16;"U9";"soic p1.27 lengt 5.40";1;"ATECC608B";;;
17;"R2,R5,R4";"0603";3;"10K";;;
18;"PZ1";"PROSIGNAL_ABI-017-RC";1;"buzzer";;;
19;"Q1";"sot-23,";1;"BSS138";;;
20;"U5";"SOT-25";1;"DS28CM00R-A00+T";;;
21;"U4";"sop4 P=2.54";1;"G3VM-61HR2(TR05)";;;
22;"C30,C20,C6,C1,C28,C8,C3";"0603";7;"100nF";;;
23;"CON2";"Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical";1;"jtag";;;
24;"U2";"recom psu";1;"R-783.3-1.0";;;
25;"C24,C23";"0603";2;"NM";;;
26;"U1";"SOIC127P599X175-8N";1;"INA219BxDCN";;;
27;"AE3";"ufl connector";1;"Antenna_Shield";;;
28;"C9";"0603";1;"120nF";;;
29;"Y2";"crystal tht";1;"32khz";;;
30;"R3";"0603";1;"220 ";;;
31;"R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"100m Ohm";;;
32;"AE1";"ufl connector";1;"sma";;;
33;"BT1";"3012TR";1;"Battery_Cell";;;
34;"MOD2";"SON_STM_TESEO-LIV3R";1;"teseo-LIV";;;
