"Reference:","B2954820"
"Date:","Mon Jun 07 2021 12:27:18 GMT+0200 (Central European Summer Time)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"C2, C4, C5, C7, C25, C29, C31","7","GPC0603106-10","Generic part","10 uF +/- 10% 10 V X5R 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT T&R GP"
"C27","1","GPC0603104-25","Generic part","0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C1, C3, C6, C8, C11, C12, C15, C20, C28, C30, C32","11","GPC0603104","Generic part","0603, Cap 100.0nF, 50V, 10.0%, X7R"
"R7, R9, R10","3","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"R11","1","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"R2, R4, R5","3","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"C17, C18","2","GPC0603120","Generic part","0603, Cap 12.0pF, 50V, 5.0%, C0G"
"R6, R8","2","GPR06030R","Generic part","0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"C13, C21, C26","3","GPC0603105-25","Generic part","1µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C22, C33","2","GPC06036R8","Generic part","0603, Cap 6.8pF, 50V, 10.0%, C0G"
"R3","1","GPR0603220R","Generic part","0603, Res 220.0Ohm, 50V, 1.0%, 100mW"
"C14","1","GPC0603101","Generic part","0603, Cap 100.0pF, 50V, 5.0%, C0G"
"Q1","1","BSS138","Fairchild/ON Semiconductor","N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3"
"Y3","1","CSTLS16M0X53-B0","Murata","16MHz Ceramic Resonator Built in Capacitor 15pF ±0.2% 50 Ohms -20°C ~ 80°C Through Hole"
"Y2","1","MCRJ232000F12300H3H","Multicomp","CRYSTAL, 32KHZ, 12.5PF, CYLINDER"
"C10","1","GRM188R6YA475KE15D","Murata","4.7µF ±10% 35V Ceramic Capacitor X5R 0603 (1608 Metric)"
"U3","1","H3LIS331DLTR","STMicroelectronics","Accelerometer X, Y, Z Axis ±100g, ±200g, ±400g 25Hz ~ 500Hz 16-TFLGA (3x3)"
"AE2, AE3","2","1661","Adafruit Industries","Adafruit Accessories uFL SMIT Antenna Connector"
"AE1","1","1661","Adafruit Industries","Adafruit Accessories uFL SMIT Antenna Connector"
"J1, J2","2","TB002-500-02BE","CUI","2 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole"
"L1","1","LQW18AN5N6C0ZD","Murata","Fixed Inductors 0603 5.6nH 0.082ohms 750mA +/-0.2nH"
"U6","1","NRF52810-QFAA-T","Nordic Semiconductor","IC RF TxRx + MCU Bluetooth Bluetooth v5.0 2.4GHz 48-VFQFN Exposed Pad"
"U9","1","ATECC608A-SSHCZ-T","Microchip Technology","IC AUTHENTICATION CHIP 8SOIC"
"PZ1","1","ABI-017-RC","Multicomp","Transducer, Buzzer, SMD, Buzzer, 4 VDC, 7 VDC, 30 mA, 88 dB"
"U5","1","DS28CM00R-A00+T","Maxim Integrated","Silicon Serial Number IC PCB, Network Node, Equipment Identification/Registration SOT-23-5"
"U4","1","G3VM-61HR2(TR05)","Omron","Solid State SPST-NO (1 Form A) 6-SOP (0.173"", 4.40mm)"
"U2","1","R-783.3-1.0","Recom Power","Linear Regulator Replacement DC DC Converter 1 Output 3.3V 1A 4.75V - 18V Input"
"U1","1","INA219BIDR","Texas Instruments","Current Monitor Regulator High-Side 10mA 8-SOIC"
"Y1","1","ASE-1.8432MHZ-LC-T","Abracon","1.8432MHz XO (Standard) CMOS Oscillator 3.3V Enable / Disable 4-SMD, No Lead"
"U8","1","RFM98W-433S2","RF Solutions","802.15.4, General ISM &lt; 1GHz LoRa™ Transceiver Module 433MHz Surface Mount"
"C9","1","C0603C124K5RACTU","Kemet","0.12µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"U7","1","STM32L052K6T6","STMicroelectronics","ARM® Cortex®-M0+ STM32L0 Microcontroller IC 32-Bit 32MHz 32KB (32K x 8) FLASH 32-LQFP (7x7)"
"BT1","1","3012TR","Keystone Electronics","Battery Retainer Coin, 16.0mm 1 Cell SMD (SMT) Tab"
"R1","1","WSL2512R0400FEA18","Vishay Dale","40 mOhms ±1% 2W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant, Pulse Withstanding Metal Element"
"MOD2","1","TESEO-LIV3R","ST Microelectronics","series RF Receiver BeiDou, GLONASS, GNSS, GPS 1.561GHz, 1.575MHz -163dBm - - 18-LCC (9.7x10.1)"
