Ref,Val,Package,PosX,PosY,Rot,Side
"Y1","326MhZ","OSCCC320X250X90L80X100N",-124.950000,-123.726392,180.000000,bottom
"AE1","sma","sma juist",86.040000,-137.475000,0.000000,top
"AE3","Antenna_Shield","sma juist",136.590000,-137.415000,0.000000,top
"BT1","Battery_Cell","3012TR",70.890000,-90.080000,90.000000,top
"C1","100nF","0603",98.855000,-62.115000,0.000000,top
"C2","10uF","0603",98.765000,-60.115000,0.000000,top
"C3","100nF","0603",80.200000,-57.510000,180.000000,top
"C4","10uF","0603",80.155000,-59.935000,180.000000,top
"C5","10uF","0603",108.285000,-67.545000,180.000000,top
"C6","100nF","0603",108.315000,-65.625000,180.000000,top
"C7","10uF","0603",80.050000,-107.790000,180.000000,top
"C8","100nF","0603",80.035000,-105.495000,180.000000,top
"C9","120nF","0603",85.975000,-123.793596,-90.000000,top
"C10","4.7uF","0603",111.095000,-114.540000,0.000000,top
"C11","100nF","0603",111.225000,-108.205000,0.000000,top
"C12","100nF","0603",111.190000,-111.485000,0.000000,top
"C13","1uF","0603",121.630000,-115.380000,-90.000000,top
"C14","100pF","0603",120.405000,-124.945000,180.000000,top
"C15","100nF","0603",119.475000,-112.565000,180.000000,top
"C16","NM","0603",112.965000,-125.295000,180.000000,top
"C17","12pF","0603",122.475000,-119.385000,90.000000,top
"C18","12pF","0603",127.045000,-120.065000,0.000000,top
"C19","NM","0603",112.965000,-127.245000,180.000000,top
"C20","10uF","0603",118.345000,-80.195000,90.000000,top
"C21","10uF","0603",122.985000,-83.395000,0.000000,top
"C22","100nF","0603",123.040000,-80.810000,0.000000,top
"C23","NM","0603",140.690000,-124.870000,0.000000,top
"C24","NM","0603",132.565000,-126.275000,180.000000,top
"C25","10uF","0603",139.730000,-99.400000,180.000000,top
"C26","1uF","0603",139.730000,-101.790000,180.000000,top
"C27","0.1uF","0603",139.705000,-104.625000,180.000000,top
"C28","100nF","0603",75.692000,-65.382000,0.000000,top
"C29","10uF","0603",132.080000,-70.866000,0.000000,top
"C30","100nF","0603",75.692000,-62.992000,0.000000,top
"C31","10uF","0603",132.080000,-73.256000,0.000000,top
"C32","100nF","0603",156.464000,-116.078000,0.000000,top
"C33","20pF","0603",106.690000,-83.240000,0.000000,top
"C34","20pF","0603",106.805000,-85.325000,0.000000,top
"J1","Screw_Terminal_01x02","2pin_screw",72.060000,-54.010000,90.000000,top
"J2","Screw_Terminal_01x02","2pin_screw",121.405000,-48.025000,0.000000,top
"L1","5n6","0603",85.940000,-119.538596,-90.000000,top
"MOD2","teseo-LIV","SON_STM_TESEO-LIV3R",89.190000,-110.640000,180.000000,top
"PZ1","buzzer","PROSIGNAL_ABI-017-RC",142.230000,-46.640000,90.000000,top
"Q1","BSS138","sot-23,",153.440000,-46.730000,90.000000,top
"R1","100m Ohm","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",84.850000,-51.490000,0.000000,top
"R2","10K","0603",155.455000,-50.825000,0.000000,top
"R3","220 ","0603",118.945000,-67.395000,90.000000,top
"R4","10K","0603",128.212500,-79.347500,180.000000,top
"R5","10K","0603",128.487500,-73.292500,180.000000,top
"R6","0","0603RL",117.190000,-126.610000,-90.000000,top
"R7","10K","0603RL",149.080000,-112.250000,180.000000,top
"R8","0","0603RL",135.810000,-125.510000,-90.000000,top
"R9","10K","0603RL",152.809000,-116.083000,0.000000,top
"U1","INA219BxDCN","SOIC127P599X175-8N",85.200000,-60.330000,-90.000000,top
"U2","R-783.3-1.0","recom psu",100.390000,-55.330000,0.000000,top
"U3","LIS3DH","QFN-16_0.5MM",110.066750,-70.780250,180.000000,top
"U4","G3VM-61HR2(TR05)","sop4 P=2.54",121.530000,-56.080000,180.000000,top
"U5","DS28CM00R-A00+T","SOT-25",128.857500,-76.302500,0.000000,top
"U6","nRF52810-QFxx","nrf",116.640000,-118.240000,-90.000000,top
"U7","ATSAMD21","QFN49P40_600X600X90L40X20T460N",118.940000,-87.520000,0.000000,top
"U8","murattaLora","XCVR_CMWX1ZZABZ-078",139.445000,-112.685000,-90.000000,top
"U9","ATECC608B","soic p1.27 lengt 5.40",70.358000,-68.072000,0.000000,top
"Y2","Crystal","crystal tht",110.930000,-85.030000,90.000000,top
