"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CON3,CON2,CON1";"Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical";3;"jtag";;;
2;"U7";"ATSAMD21G18A-M";1;"QFN50P700X700X90-49N";;;
3;"C7,C5,C21,C31,C25,C4,C2,C29";"0603";8;"10uF";;;
4;"C10";"0603";1;"4.7uF";;;
5;"C27";"0603";1;"0.1uF";;;
6;"TP2";"TestPoint_Pad_D3.0mm";1;"MOSI";;;
7;"U3";"QFN-16_0.5MM";1;"LIS3DH";;;
8;"AE3,AE2";"ufl connector";2;"Antenna_Shield";;;
9;"J2,J1";"2pin_screw";2;"Screw_Terminal_01x02";;;
10;"L1";"0603";1;"5n6";;;
11;"U6";"nrf";1;"nRF52810-QFxx";;;
12;"C15,C11,C30,C6,C1,C12,C28,C32,C8,C22,C3";"0603";11;"100nF";;;
13;"R9,R7";"0603RL";2;"10K";;;
14;"Y2";"crystal tht";1;"Crystal";;;
15;"U9";"soic p1.27 lengt 5.40";1;"ATECC608B";;;
16;"C18,C17";"0603";2;"12pF";;;
17;"R2,R5,R4";"0603";3;"10K";;;
18;"C19,C24,C16,C23";"0603";4;"NM";;;
19;"PZ1";"PROSIGNAL_ABI-017-RC";1;"buzzer";;;
20;"Q1";"sot-23,";1;"BSS138";;;
21;"U5";"SOT-25";1;"DS28CM00R-A00+T";;;
22;"U4";"sop4 P=2.54";1;"G3VM-61HR2(TR05)";;;
23;"R6,R8";"0603RL";2;"0";;;
24;"C26,C13";"0603";2;"1uF";;;
25;"U2";"recom psu";1;"R-783.3-1.0";;;
26;"U1";"SOIC127P599X175-8N";1;"INA219BxDCN";;;
27;"Y1";"OSCCC320X250X90L80X100N";1;"326MhZ";;;
28;"TP4";"TestPoint_Pad_D3.0mm";1;"CS";;;
29;"TP3";"TestPoint_Pad_D3.0mm";1;"MISO";;;
30;"U8";"XCVR_CMWX1ZZABZ-078";1;"murattaLora";;;
31;"C9";"0603";1;"120nF";;;
32;"TP5";"TestPoint_Pad_D3.0mm";1;"SPICLK";;;
33;"R3";"0603";1;"220 ";;;
34;"C33,C34";"0603";2;"20pF";;;
35;"TP1";"TestPoint_Pad_D3.0mm";1;"RESET";;;
36;"R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"100m Ohm";;;
37;"AE1";"ufl connector";1;"sma";;;
38;"BT1";"3012TR";1;"Battery_Cell";;;
39;"MOD2";"SON_STM_TESEO-LIV3R";1;"teseo-LIV";;;
40;"C14";"0603";1;"100pF";;;
