"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT2,BT1";"3012TR";2;"Battery_Cell";;;
2;"U9";"soic p1.27 lengt 5.40";1;"ATECC608B";;;
3;"Y2";"crystal tht";1;"32khz";;;
4;"R11";"0603RL";1;"R_Small_US";;;
5;"CON2,CON3,CON1";"Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical";3;"jtag";;;
6;"C33,C22";"0603";2;"6.8pF";;;
7;"C21,C26,C13";"0603";3;"1uF";;;
8;"C20,C15,C11,C30,C6,C1,C12,C28,C32,C8,C3";"0603";11;"100nF";;;
9;"Y3";"MURATA_CSTCE16M0V53C-R0";1;"16MHz";;;
10;"C7,C5,C31,C25,C4,C2,C29";"0603";7;"10uF";;;
11;"C10";"0603";1;"4.7uF";;;
12;"C27";"0603";1;"0.1uF";;;
13;"TP2";"TestPoint_Pad_D3.0mm";1;"MOSI";;;
14;"U3";"QFN-16_0.5MM";1;"LIS3DH";;;
15;"AE3,AE2";"ufl connector";2;"Antenna_Shield";;;
16;"J2,J1";"2pin_screw";2;"Screw_Terminal_01x02";;;
17;"L1";"0603";1;"5n6";;;
18;"U6";"nrf";1;"nRF52810-QFxx";;;
19;"REF**,REF**,REF**";"Fiducial_1mm_Mask3mm";3;"Fiducial_1mm_Mask3mm";;;
20;"R9,R10,R7";"0603RL";3;"10K";;;
21;"C18,C17";"0603";2;"12pF";;;
22;"R2,R5,R4";"0603";3;"10K";;;
23;"C19,C24,C16,C23";"0603";4;"NM";;;
24;"PZ1";"PROSIGNAL_ABI-017-RC";1;"buzzer";;;
25;"Q1";"sot-23,";1;"BSS138";;;
26;"U5";"SOT-25";1;"DS28CM00R-A00+T";;;
27;"U4";"sop4 P=2.54";1;"G3VM-61HR2(TR05)";;;
28;"R6,R8";"0603RL";2;"0";;;
29;"U2";"recom psu";1;"R-783.3-1.0";;;
30;"U1";"SOIC127P599X175-8N";1;"INA219BxDCN";;;
31;"Y1";"OSCCC320X250X90L80X100N";1;"326MhZ";;;
32;"TP4";"TestPoint_Pad_D3.0mm";1;"CS";;;
33;"TP3";"TestPoint_Pad_D3.0mm";1;"MISO";;;
34;"U8";"XCVR_CMWX1ZZABZ-078";1;"murattaLora";;;
35;"C9";"0603";1;"120nF";;;
36;"TP5";"TestPoint_Pad_D3.0mm";1;"SPICLK";;;
37;"U7";"STM32L552CCT6";1;"STM32L552CCT6";;;
38;"R3";"0603";1;"220 ";;;
39;"TP1";"TestPoint_Pad_D3.0mm";1;"RESET";;;
40;"R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"100m Ohm";;;
41;"AE1";"ufl connector";1;"sma";;;
42;"MOD2";"SON_STM_TESEO-LIV3R";1;"teseo-LIV";;;
43;"C14";"0603";1;"100pF";;;
