"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C22,C12,C1,C8,C3,C11,C32,C6,C15,C30,C28";"0603";11;"100nF";;;
2;"U6";"nrf";1;"nRF52810-QFxx";;;
3;"C18,C17";"0603";2;"12pF";;;
4;"CON2,CON3,CON1";"Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical";3;"jtag";;;
5;"U3";"QFN-16_0.5MM";1;"LIS3DH";;;
6;"C33,C34";"0603";2;"20pF";;;
7;"C26,C13";"0603";2;"1uF";;;
8;"R9,R7";"0603RL";2;"10K";;;
9;"R5,R2,R4";"0603";3;"10K";;;
10;"U4";"sop4 P=2.54";1;"G3VM-61HR2(TR05)";;;
11;"BT1";"3012TR";1;"Battery_Cell";;;
12;"C20,C21,C25,C5,C7,C29,C2,C4,C31";"0603";9;"10uF";;;
13;"R3";"0603";1;"220 ";;;
14;"L1";"0603";1;"5n6";;;
15;"AE3";"sma juist";1;"Antenna_Shield";;;
16;"U5";"SOT-25";1;"DS28CM00R-A00+T";;;
17;"Y2";"crystal tht";1;"Crystal";;;
18;"Q1";"sot-23,";1;"BSS138";;;
19;"C23,C19,C24,C16";"0603";4;"NM";;;
20;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole_2.2mm_M2_Pad_Via";;;
21;"J2,J1";"2pin_screw";2;"Screw_Terminal_01x02";;;
22;"R8,R6";"0603RL";2;"0";;;
23;"U1";"SOIC127P599X175-8N";1;"INA219BxDCN";;;
24;"AE1";"sma juist";1;"sma";;;
25;"R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"100m Ohm";;;
26;"PZ1";"PROSIGNAL_ABI-017-RC";1;"buzzer";;;
27;"C27";"0603";1;"0.1uF";;;
28;"U2";"recom psu";1;"R-783.3-1.0";;;
29;"U8";"XCVR_CMWX1ZZABZ-078";1;"murattaLora";;;
30;"MOD2";"SON_STM_TESEO-LIV3R";1;"teseo-LIV";;;
31;"C9";"0603";1;"120nF";;;
32;"AE2";"Texas_SWRA117D_2.4GHz_Right";1;"Antenna";;;
33;"C14";"0603";1;"100pF";;;
34;"U7";"QFN49P40_600X600X90L40X20T460N";1;"ATSAMD21";;;
35;"C10";"0603";1;"4.7uF";;;
36;"U9";"soic p1.27 lengt 5.40";1;"ATECC608B";;;
37;"Y1";"OSCCC320X250X90L80X100N";1;"326MhZ";;;
