Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","jst 2 pin",-112.776000,-113.030000,0.000000,bottom
"C1","10uF","0603",108.331000,-95.499000,0.000000,top
"C2","10uF","0603",100.965000,-97.023000,0.000000,top
"D1","LED","led0603",105.410000,-106.172000,180.000000,top
"D2","LED","led0603",88.900000,-70.104000,0.000000,top
"L1","L","0603RL",96.840000,-105.760000,90.000000,top
"R1","10K","0603RL",92.560000,-60.070000,0.000000,top
"R2","1K","0603RL",110.358000,-106.172000,180.000000,top
"R3","1k","0603RL",101.722000,-102.108000,180.000000,top
"R4","1k","0603RL",97.282000,-102.108000,0.000000,top
"R5","10K","0603RL",121.850000,-72.180000,-90.000000,top
"R6","NM","0603RL",121.854000,-75.720000,-90.000000,top
"R7","100K","0603RL",116.470000,-101.310000,180.000000,top
"R8","100k","0603RL",120.130000,-101.310000,180.000000,top
"R9","nm","0603RL",93.045500,-70.104000,0.000000,top
"REF**","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",124.714000,-58.166000,90.000000,top
"REF**","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",86.868000,-58.166000,90.000000,top
"REF**","Fiducial_1mm_Mask3mm","Fiducial_1mm_Mask3mm",122.110000,-116.720000,90.000000,top
"U1","MCP73831","SOT-25",105.950000,-99.680000,-90.000000,top
"U2","AMS1117-3.3","SOT229P700X180-4N",94.341000,-96.440000,90.000000,top
"U3","ESP32-WROOM","ESP32-WROOM-32",106.426000,-65.786000,0.000000,top
"con1","USB_micro","MILLMAX_897-43-005-00-100001",98.380000,-114.750000,0.000000,top
