"Reference:","B2959035"
"Date:","Wed Jun 09 2021 11:12:42 GMT+0200 (Central European Summer Time)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"R1, R5","2","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"C1, C2","2","GPC0603106-10","Generic part","10 uF +/- 10% 10 V X5R 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT T&R GP"
"R2","1","GPR06031K","Generic part","0603, Res 1.0kOhm, 50V, 1.0%, 100mW"
"R3, R4","2","GPR06031K","Generic part","0603, Res 1.0kOhm, 50V, 1.0%, 100mW"
"R7","1","GPR0603100K","Generic part","0603, Res 100.0kOhm, 50V, 1.0%, 100mW"
"R8","1","GPR0603100K","Generic part","0603, Res 100.0kOhm, 50V, 1.0%, 100mW"
"U2","1","AP1117E33G-13","Diodes Inc.","Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 1A SOT-223-3"
"L1","1","BLM18KG471SN1D","Murata","FERRITE BEAD 470 OHM 0603 1LN"
"D1","1","APHB1608ZGSURKC","Kingbright","Green, Red 525nm Green, 630nm Red LED Indication - Discrete 3.3V Green, 1.95V Red 0603 (1608 Metric)"
"U1","1","MCP73831T-4ADI/OT","Microchip Technology","IC CONTRLR LI-ION 4.40V SOT23-5"
"con1","1","897-43-005-00-100001","Mill-Max Manufacturing Corp.","USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle"
"U3","1","ESP32-WROOM-32D(M113DH3200PS3Q0)","Espressif Systems","WiFi Modules (802.11) SMD Module ESP32-WROOM-32D, ESP32-D0WD, 32Mbits SPI flash, PCB antenna, -40 C ~ +105 C"
"BT1","","PRT-08612","Sparkfun","JST Right Angle Connector, 2-SMD"
