"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C12,C13";"0603";2;"12pF";;;
2;"C3,C4,C1";"0603";3;"10uF";;;
3;"REF**,REF**,REF**";"Fiducial_1mm_Mask3mm";3;"Fiducial_1mm_Mask3mm";;;
4;"CON1";"Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical";1;"jtag";;;
5;"Y1";"OSCCC320X250X90L80X100N";1;"326MhZ";;;
6;"U1";"SOT-25";1;"MCP73831";;;
7;"R2";"0603RL";1;"1K";;;
8;"J1";"AMPHENOL_10118192-0001LF";1;"USB_B_Mini";;;
9;"C7,C6,C10";"0603";3;"100nF";;;
10;"C2";"0603";1;"0.1uF";;;
11;"C8";"0603";1;"1uF";;;
12;"R1";"0603RL";1;"100";;;
13;"R5";"0603RL";1;"0";;;
14;"AE1";"Texas_SWRA117D_2.4GHz_Right";1;"Antenna";;;
15;"U3";"nrf";1;"nRF52810-QFxx";;;
16;"R4,R3";"0603RL";2;"1k";;;
17;"U2";"SON50P300X300X100-11N";1;"TPS63001";;;
18;"L1";"0603RL";1;"L";;;
19;"D1";"led0603";1;"LED";;;
20;"C11,C14";"0603";2;"NM";;;
21;"L2";"WURTH_744025001";1;"2.2uH";;;
22;"C5";"0603";1;"4.7uF";;;
23;"C9";"0603";1;"100pF";;;
24;"BT1";"jst 2 pin";1;"Battery";;;
