Ref,Val,Package,PosX,PosY,Rot,Side
BT1,Battery,jst 2 pin,-112.09,-113.26,0,bottom
C9,100pF,0603,-96.9,-60.19,-90,bottom
C1,10uF,0603,95.11,-94.45,180,top
C2,0.1uF,0603,104.4,-89.28,90,top
C3,10uF,0603,99.25,-85.26,90,top
C4,10uF,0603,97.34,-85.26,90,top
C5,4.7uF,0603,95.39,-74.27,90,top
C6,100nF,0603,93.525,-74.225,90,top
C7,100nF,0603,97.355,-74.275,90,top
C8,1uF,0603,93.69,-69.02,0,top
C10,100nF,0603,100.24,-72.38,180,top
C11,NM,0603,99.645,-60.845,180,top
C12,12pF,0603,93.85,-59.73,90,top
C13,12pF,0603,92.465,-65.965,-90,top
C14,NM,0603,99.635,-55.035,180,top
CON1,jtag,SAMTEC_FTSH-105-01-F-D-K,114.02,-67.285,90,top
D1,LED,led0603,95.7175,-96.61,180,top
L1,L,0603RL,96.51,-105.02,90,top
L2,2.2uH,INDM300X300X200L80X50,94.71,-91.12,90,top
R1,100,0603,104.4,-93.07,-90,top
R2,1K,0603,102.21,-96.6,180,top
R3,1k,0603,104.22,-101.58,0,top
R4,1k,0603,108.89,-101.58,180,top
R5,0,0603,100.3,-57.94,90,top
U1,MCP73831,SOT-25,99.6975,-100.2475,-90,top
U2,TPS63001,SON50P300X300X100-11N,99.08,-91.18,0,top
U3,nRF52810-QFxx,nrf,100.05,-66.87,90,top
Y1,326MhZ,OSCCC200X160X50L55X65,93.159795,-62.91,0,top
con1,USB_micro,usb_connector,98.13,-113.9,0,top
