"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"Fiducial_1mm_Mask3mm";3;"Fiducial_1mm_Mask3mm";;;
2;"R1,R5";"0603RL";2;"10K";;;
3;"R6";"0603RL";1;"NM";;;
4;"C2,C1";"0603";2;"10uF";;;
5;"R2";"0603RL";1;"1K";;;
6;"CON1";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TAGconnect_ESP";;;
7;"R3,R4";"0603RL";2;"1k";;;
8;"L1";"0603RL";1;"L";;;
9;"D2,D1";"led0603";2;"LED";;;
10;"R7";"0603RL";1;"100K";;;
11;"U1";"SOT-25";1;"MCP73831";;;
12;"R9";"0603RL";1;"nm";;;
13;"R8";"0603RL";1;"100k";;;
14;"con1";"MILLMAX_897-43-005-00-100001";1;"USB_micro";;;
15;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
16;"U2";"SOT229P700X180-4N";1;"AMS1117-3.3";;;
17;"BT1";"jst 2 pin";1;"Battery";;;
