"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C12,C3,C8,C1";"0603";4;"100nF";;;
2;"U7";"QFN-16_0.5MM";1;"LIS3DH";;;
3;"U6";"SOT-25";1;"DS28CM00R-A00+T";;;
4;"R12,R11,R9,R8";"0603";4;"10K";;;
5;"C11,C4,C7,C2";"0603";4;"10uF";;;
6;"Z1";"QUALCOMM_B39162B4327P810";1;"b4327";;;
7;"C10";"0603";1;"120nF";;;
8;"U1";"SOIC127P599X175-8N";1;"INA219BxDCN";;;
9;"J2,J1";"2pin_screw";2;"Screw_Terminal_01x02";;;
10;"R1,R4,R2,R3";"0603RL";4;"220";;;
11;"R10";"0603";1;"220 ";;;
12;"Q1";"sot-23,";1;"BBS3002";;;
13;"BT2";"jst 2 pin";1;"Battery";;;
14;"BT3";"3012TR";1;"Battery_Cell";;;
15;"mod1";"E0";1;"particle_e0";;;
16;"U2";"recom psu";1;"R-783.3-1.0";;;
17;"J5,J3,J4";"5pin header";3;"Conn_01x05_Male";;;
18;"D4";"led0603";1;"pwr";;;
19;"L1";"0603";1;"5n6";;;
20;"PZ1";"PROSIGNAL_ABI-017-RC";1;"buzzer";;;
21;"C9";"0603";1;"120pF";;;
22;"BT1";"3012TR";1;"Battery";;;
23;"D1";"led0603";1;"RED";;;
24;"AE1";"sma_right angeld";1;"sma";;;
25;"J7,J6";"2 pin header";2;"Conn_01x02_Male";;;
26;"U4";"INFINEON_BGA725L6E6327FTSA1";1;"bga725l6";;;
27;"U5";"sop4 P=2.54";1;"G3VM-61HR2(TR05)";;;
28;"CON1";"SAMTEC_FTSH-105-01-F-DV-P-TR";1;"jtag";;;
29;"D3";"led0603";1;"BLUE";;;
30;"R7";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"100m Ohm";;;
31;"D2";"led0603";1;"GREEN";;;
32;"mod2";"SON_STM_TESEO-LIV3R";1;"teseo-LIV";;;
