Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","sma","sma_right angeld",131.130000,-150.700000,-90.000000,top
"BT1","Battery","3012TR",106.450000,-140.230000,90.000000,top
"BT2","Battery","jst 2 pin",147.840000,-150.520000,0.000000,top
"BT3","Battery_Cell","3012TR",106.550000,-112.140000,90.000000,top
"C1","100nF","0603",131.140000,-75.600000,0.000000,top
"C2","10uF","0603",131.055000,-78.385000,0.000000,top
"C3","100nF","0603",135.435000,-78.425000,180.000000,top
"C4","10uF","0603",135.460000,-75.540000,180.000000,top
"C7","10uF","0603",124.605000,-117.410000,180.000000,top
"C8","100nF","0603",124.485000,-120.275000,180.000000,top
"C9","120pF","0603",130.505000,-131.555000,0.000000,top
"C10","120nF","0603",130.980000,-143.740000,-90.000000,top
"C11","10uF","0603",103.015000,-94.705000,180.000000,top
"C12","100nF","0603",103.015000,-92.315000,180.000000,top
"CON1","jtag","SAMTEC_FTSH-105-01-F-DV-P-TR",193.340000,-104.800000,90.000000,top
"D1","RED","led0603",195.810000,-95.410000,180.000000,top
"D2","GREEN","led0603",195.722500,-91.010000,180.000000,top
"D3","BLUE","led0603",195.750000,-86.520000,180.000000,top
"D4","pwr","led0603",148.692500,-136.910000,0.000000,top
"J1","Screw_Terminal_01x02","2pin_screw",108.120000,-73.330000,90.000000,top
"J2","Screw_Terminal_01x02","2pin_screw",165.560000,-66.170000,180.000000,top
"J3","Conn_01x05_Male","5pin header",195.200000,-75.240000,90.000000,top
"J4","Conn_01x05_Male","5pin header",145.370000,-113.270000,90.000000,top
"J5","Conn_01x05_Male","5pin header",164.280000,-92.060000,0.000000,top
"J6","Conn_01x02_Male","2 pin header",141.030000,-82.000000,0.000000,top
"J7","Conn_01x02_Male","2 pin header",117.960000,-93.020000,0.000000,top
"L1","5n6","0603",130.860000,-139.360000,-90.000000,top
"PZ1","buzzer","PROSIGNAL_ABI-017-RC",182.670000,-65.160000,0.000000,top
"Q1","BBS3002","sot-23,",181.609820,-76.230000,90.000000,top
"R1","220","0603RL",190.920000,-95.450000,0.000000,top
"R2","220","0603RL",190.930000,-91.040000,0.000000,top
"R3","220","0603RL",190.900000,-86.470000,0.000000,top
"R4","220","0603RL",153.860000,-136.910000,180.000000,top
"R7","100m Ohm","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",119.980000,-70.880000,0.000000,top
"R8","10K","0603",135.230000,-137.870000,0.000000,top
"R9","10K","0603",186.424640,-77.194960,0.000000,top
"R10","220 ","0603",162.245000,-81.685000,90.000000,top
"R11","10K","0603",121.425000,-86.845000,180.000000,top
"R12","10K","0603",117.455000,-86.815000,0.000000,top
"U1","INA219BxDCN","SOIC127P599X175-8N",120.100000,-80.900000,-90.000000,top
"U2","R-783.3-1.0","recom psu",133.450000,-70.850000,0.000000,top
"U4","bga725l6","INFINEON_BGA725L6E6327FTSA1",130.840000,-136.900000,180.000000,top
"U5","G3VM-61HR2(TR05)","sop4 P=2.54",164.780000,-71.220000,180.000000,top
"U6","DS28CM00R-A00+T","SOT-25",106.930000,-93.060000,180.000000,top
"U7","LIS3DH","QFN-16_0.5MM",137.650000,-89.200000,90.000000,top
"Z1","b4327","QUALCOMM_B39162B4327P810",130.830000,-134.260000,90.000000,top
"mod1","particle_e0","E0",159.380000,-154.845000,0.000000,top
"mod2","teseo-LIV","SON_STM_TESEO-LIV3R",132.040000,-121.610000,180.000000,top
