"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"led0603";1;"GREEN";;;
2;"PZ1";"PROSIGNAL_ABI-017-RC";1;"buzzer";;;
3;"R7";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"100m Ohm";;;
4;"R3,R1,R4,R2";"0603RL";4;"220";;;
5;"J2,J1";"2pin_screw";2;"Screw_Terminal_01x02";;;
6;"CON1";"SAMTEC_FTSH-105-01-F-DV-P-TR";1;"jtag";;;
7;"C12,C8,C1,C3";"0603";4;"100nF";;;
8;"L1";"0603";1;"5n6";;;
9;"J7,J6";"2 pin header";2;"Conn_01x02_Male";;;
10;"R12,R11,R9";"0603";3;"10K";;;
11;"C4,C2,C11,C7";"0603";4;"10uF";;;
12;"Q1";"sot-23,";1;"BBS3002";;;
13;"J4,J3,J5";"5pin header";3;"Conn_01x05_Male";;;
14;"REF**,REF**,REF**";"MountingHole_2.2mm_M2_ISO7380";3;"MountingHole_2.2mm_M2_ISO7380";;;
15;"AE1";"sma_right angeld";1;"sma";;;
16;"BT1";"3012TR";1;"Battery";;;
17;"D4";"led0603";1;"pwr";;;
18;"U2";"recom psu";1;"R-783.3-1.0";;;
19;"U6";"SOT-25";1;"DS28CM00R-A00+T";;;
20;"U5";"sop4 P=2.54";1;"G3VM-61HR2(TR05)";;;
21;"D1";"led0603";1;"RED";;;
22;"D3";"led0603";1;"BLUE";;;
23;"BT3";"3012TR";1;"Battery_Cell";;;
24;"U1";"SOIC127P599X175-8N";1;"INA219BxDCN";;;
25;"mod2";"SON_STM_TESEO-LIV3R";1;"teseo-LIV";;;
26;"R10";"0603";1;"220 ";;;
27;"C10";"0603";1;"120nF";;;
28;"mod1";"E0";1;"particle_e0";;;
29;"BT2";"jst 2 pin";1;"Battery";;;
30;"U7";"QFN-16_0.5MM";1;"LIS3DH";;;
